Date,VDA_Confirmed,VDA_Deaths,LIG_Confirmed,LIG_Deaths,PIE_Confirmed,PIE_Deaths,LOM_Confirmed,LOM_Deaths,VEN_Confirmed,VEN_Deaths,TN_Confirmed,TN_Deaths,BZ_Confirmed,BZ_Deaths,FVG_Confirmed,FVG_Deaths,EMR_Confirmed,EMR_Deaths,MAR_Confirmed,MAR_Deaths,TOS_Confirmed,TOS_Deaths,UMB_Confirmed,UMB_Deaths,LAZ_Confirmed,LAZ_Deaths,ABR_Confirmed,ABR_Deaths,MOL_Confirmed,MOL_Deaths,CAM_Confirmed,CAM_Deaths,BAS_Confirmed,BAS_Deaths,PUG_Confirmed,PUG_Deaths,CAL_Confirmed,CAL_Deaths,SIC_Confirmed,SIC_Deaths,SAR_Confirmed,SAR_Deaths,Confirmed_New,Confirmed_Total,Deaths_New,Deaths_Total,Active_ICU,Active_Total,Recovered,Tested
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
2020-02-21,0,0,0,0,0,0,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,1,1,0,19,0,0
2020-02-22,0,0,0,0,1,0,40,1,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,79,1,2,18,75,0,0
2020-02-23,0,0,0,0,0,0,57,1,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,150,1,3,25,147,0,0
2020-02-24,0,0,0,0,0,0,61,4,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,227,4,7,27,199,1,0
2020-02-25,0,0,1,0,0,0,67,2,11,1,0,0,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,93,320,3,10,35,309,1,8600
2020-02-26,0,0,10,0,0,0,65,1,28,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,445,2,12,36,430,3,9587
2020-02-27,0,0,8,0,1,0,98,5,40,0,0,0,0,0,0,0,50,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,205,650,5,17,56,588,45,12014
2020-02-28,0,0,0,0,9,0,128,3,40,0,0,0,0,0,0,0,48,1,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,238,888,4,21,64,821,46,15695
2020-02-29,0,0,3,0,0,0,84,6,40,0,0,0,0,0,0,0,72,2,5,0,3,0,0,0,3,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,240,1128,8,29,105,1049,50,18661
2020-03-01,0,0,0,0,38,0,369,1,72,0,0,0,0,0,6,0,68,4,14,0,2,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,566,1694,5,34,140,1577,83,21127
2020-03-02,0,0,0,0,2,0,270,14,10,0,0,0,0,0,3,0,50,3,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,342,2036,18,52,166,1835,149,23345
2020-03-03,0,0,2,1,5,0,266,17,34,1,4,0,0,0,4,0,85,7,26,1,6,0,6,0,7,0,1,0,3,0,13,0,1,0,2,0,0,0,0,0,1,0,466,2502,27,79,229,2263,160,25856
2020-03-04,0,0,2,0,26,0,300,18,53,3,1,0,0,0,5,0,124,4,23,2,19,0,1,0,16,0,1,0,0,0,1,0,0,0,3,1,0,0,11,0,1,0,587,3089,28,107,295,2706,276,29837
2020-03-05,2,0,2,2,26,2,431,25,47,4,2,0,0,0,3,0,154,8,40,0,23,0,0,0,14,0,1,0,4,0,14,0,0,0,5,0,1,0,0,0,0,0,769,3858,41,148,351,3296,414,32362
2020-03-06,5,0,4,0,35,2,361,37,81,2,3,0,3,0,10,0,172,7,35,0,18,0,7,0,10,1,1,0,5,0,12,0,2,0,3,0,2,0,6,0,3,0,778,4636,49,197,462,3916,523,36359
2020-03-07,1,0,19,1,64,1,808,19,55,1,4,0,5,0,11,0,140,11,48,2,34,0,8,0,22,0,2,0,2,0,4,0,0,0,9,1,0,0,11,0,0,0,1247,5883,36,233,567,5061,589,42062
2020-03-08,1,0,27,2,143,0,769,113,127,5,9,0,0,0,15,1,170,8,65,1,53,0,2,0,11,2,6,0,0,0,40,0,1,0,14,1,5,0,18,0,6,0,1492,7375,133,366,650,6387,622,49937
